1,9.14,0,0,1,8.35,0,0,1,8671
2,9.99,0,0,1,7.56,0,0,1,6210
3,9.16,1,2,1,7.98,1,1,0,6635
4,9.56,2,5,1,7.75,1,2,0,12708
5,10.72,0,0,1,8.05,1,1,1,8636
6,10.54,2,3,0,8.12,1,4,0,9122
7,9.83,2,4,0,7.98,0,0,1,10815
8,9.7,1,3,1,8.23,1,3,1,10399
9,9.82,0,0,1,7.34,0,0,1,9865
10,9.6,0,0,0,7.34,1,4,0,7732
11,9.72,1,4,1,7.23,2,5,1,9967
12,9.59,0,0,1,7.67,0,0,1,6167
1,9.88,1,4,1,7.95,0,0,0,12003
2,10.01,0,0,0,7.68,2,3,1,4151
3,9.99,0,0,1,7.99,1,2,1,5346
4,9.86,0,0,1,8.07,0,0,1,6245
5,10.87,1,7,1,8.26,0,0,1,15226
6,11.43,2,2,0,8.16,2,1,1,11475
7,11.84,1,2,1,9.31,0,0,1,11845
8,11.8,2,6,1,8.47,0,0,1,16643
9,12.08,0,0,0,9.28,2,3,1,2901
10,12.57,1,1,1,8.72,1,3,1,8069
11,12.07,1,5,0,8.91,0,0,1,11702
12,12.46,0,0,1,8.85,1,2,1,5421
1,12.39,0,0,1,9.51,0,0,1,8467
2,12.43,1,3,0,7.73,2,2,1,7123
3,12.39,2,1,0,8.13,3,5,0,6236
4,12.32,1,1,0,8.92,2,3,1,3185
5,12.51,1,1,1,9.15,0,0,0,7943
6,12.46,0,0,1,8.29,1,1,0,7721
7,12.33,2,2,1,8.95,0,0,1,9979
8,12.24,1,1,0,7.39,0,0,1,9512
9,12.23,0,0,1,7.64,0,0,0,8726
10,12.12,0,0,1,7.53,0,0,1,8327
11,12.45,0,0,1,7.82,1,3,1,6279
12,12.28,1,1,0,7.63,0,0,1,8242
1,13.37,1,2,0,7.9,2,4,0,7876
2,14.27,0,0,1,8.12,1,2,1,6389
3,13.66,1,3,0,7.24,2,6,1,2090
4,14.41,2,1,1,9.15,2,5,0,7640
